0.657717,0.150344,0.732889
0.026490,0.128717,0.090848
0.017485,0.122020,0.078495
0.014369,0.119059,0.073899
0.013816,0.117936,0.072784
0.012835,0.117913,0.071791
0.012775,0.117653,0.071601
0.012724,0.117691,0.071569
0.012789,0.119512,0.072545
0.012546,0.118974,0.072033
0.012548,0.118322,0.071709
0.012526,0.118856,0.071955
0.012437,0.118864,0.071868
0.012422,0.118177,0.071511
0.012233,0.118824,0.071644
0.012583,0.118786,0.071976
0.012531,0.119153,0.072107
0.012388,0.118629,0.071703
0.012536,0.117865,0.071469
0.012381,0.118352,0.071557
