epoch,cls_loss,transfer_loss,total_loss,test_loss,test_acc
1.0,0.1773610945022665,0.00023989955152342192,0.17976008976902813,0.510999179592258,82.80467224121094
2.0,0.024544134785654023,0.00034954732940241227,0.028039608172141014,0.5069611550945985,82.88814544677734
3.0,0.01290116443054285,0.0003015276051519322,0.015916440445929766,0.6580008129148107,81.3856430053711
4.0,0.009184054447512607,0.00024965120032720734,0.011680566374678165,0.5836451598688176,84.3906478881836
5.0,0.008179759759281296,0.00021333431205130182,0.010313102825777605,0.5725874228795108,84.89148712158203
6.0,0.005205670596245909,0.0001935952225176152,0.007141622815397568,0.5833793509947626,83.72286987304688
7.0,0.004051482126698829,0.00017057346992078236,0.005757216855185107,0.7144828442680208,82.30384063720703
8.0,0.0033291329229250552,0.00015423803485828104,0.004871513266582042,0.6098041401097649,84.72454071044922
9.0,0.0030733803764742334,0.0001359218905781745,0.004432599269784987,0.6186384646908233,84.89148712158203
10.0,0.003373612969822716,0.00012783265314283198,0.004651939481729641,0.6255227343032235,84.89148712158203
11.0,0.0024045586658321553,0.00012445894310258155,0.003649148098542355,0.6057150807035597,86.06009674072266
12.0,0.002063584975156118,0.00011091858485087869,0.0031727708255057225,0.6432757750153542,83.80634307861328
13.0,0.002508838195753924,0.00010146766463731183,0.0035235148583306,0.619218032414976,85.39231872558594
14.0,0.0015121527442825027,9.680937354823981e-05,0.002480246469320264,0.6387201361358166,85.14189910888672
15.0,0.0018110701210898696,9.938662175773061e-05,0.0028049363326863386,0.7111112335451731,82.80467224121094
16.0,0.0016540628153888974,9.706773927246103e-05,0.0026247402072767725,0.6307958735055045,85.89315032958984
17.0,0.0016041127975477138,9.712640580255538e-05,0.0025753768502618187,0.6478872460950362,85.30884552001953
18.0,0.0013005775800193078,8.7420730616941e-05,0.0021747848871164024,0.6691688777584779,85.22537231445312
19.0,0.0018036021728767082,8.972549827922193e-05,0.00270085715764435,0.653685621525112,85.14189910888672
20.0,0.0010987338979903142,8.99456581701088e-05,0.0019981904806918465,0.6407238576365145,85.89315032958984
-,-,-,-,-,86.06009674072266
