epoch,cls_loss,transfer_loss,total_loss,test_loss,test_acc
1.0,0.36612144619847337,-3.4471588563919067,-3.081037411292394,1.2057185816137415,72.37061309814453
2.0,0.08867897204768573,-3.886913523674011,-3.7982345541318256,1.0990920764835257,78.46410369873047
3.0,0.056685157285198025,-3.918977129459381,-3.8622919670740763,1.4769848569443351,77.54590606689453
4.0,0.04087034284962404,-3.9343527269363405,-3.893482382297516,1.5987941254126399,77.04507446289062
5.0,0.032476274165628635,-3.9472178252538046,-3.9147415502866107,1.670920604937955,77.62937927246094
6.0,0.020753915596260414,-3.9538358783721925,-3.9330819614728294,1.5645626893169002,77.96327209472656
7.0,0.020017119868929664,-3.9567564996083577,-3.936739377975464,1.764026206574942,79.298828125
8.0,0.017491521687014615,-3.95825403769811,-3.940762513478597,1.9251866101434356,77.46243286132812
9.0,0.015281344562715352,-3.960770490964254,-3.945489142735799,1.8354895240382145,78.63105010986328
10.0,0.011212189803750997,-3.964287671248118,-3.9530754844347635,1.9257596480218988,79.298828125
11.0,0.013041612341737334,-3.9654213547706605,-3.9523797448476157,1.9223763134918714,79.04840850830078
12.0,0.01304474732419545,-3.9670121550559996,-3.953967409133911,2.002581610491401,78.8814697265625
13.0,0.005491304195619525,-3.9687880516052245,-3.9632967511812844,2.0738163245351693,77.71285247802734
14.0,0.011588733198654685,-3.9680047702789305,-3.956416041851044,2.3362879329606105,77.04507446289062
15.0,0.010491706577754379,-3.9685748712221782,-3.958083168665568,2.28026272278083,78.63105010986328
16.0,0.01013304990925003,-3.9663162382443744,-3.9561831895510355,2.3700614273548126,77.71285247802734
17.0,0.005371452536153214,-3.9704130935668944,-3.9650416413942975,2.4581630951479863,77.37895965576172
18.0,0.004425593679435256,-3.9707736706733705,-3.9663480798403423,2.5611743550551567,76.6277084350586
19.0,0.011276012553223263,-3.9710057338078815,-3.959729725519816,2.358557221136595,78.46410369873047
20.0,0.00608986723876393,-3.9724735871950787,-3.966383723417918,2.490047293274026,78.8814697265625
-,-,-,-,-,79.298828125
